,Name,Category,Content
10,Cùng một con cái hay không?”.,Truyện cười 18+,"Hai vợ chồng đi đến hội chợ tìm mua một con bò giống. Họ nhìn thấy một con, trên trán có gắn tấm biển đề: “Con bò này đã phối giống 50 lần trong năm qua”.
Người vợ trầm trồ nói với chồng: “Anh cần phải học tập con bò này”.
Bước sang 
con bò thứ hai, tấm biển đề: “Con bò này đã phối giống 65 lần trong năm qua”.
Người vợ thán phục: “Hơn 5 lần mỗi tháng. Quả thật đây là tấm gương cho anh”.
Bước tới con bò thứ ba, bà vợ thốt lên kinh ngạc: “365 lần một năm. Tức mỗi ngày một lần. Hãy học tập con bò này”.
Không chịu nổi, người chồng gào lên: “Bà hãy hỏi con bò xem, nó có làm cả 365 lần với cùng một con bò cái hay không?”."
11,Có tám cái cột,Truyện cười giao thông,"Một gã say mắt dài dại, lảo đảo đến gần hỏi một cô gái:
 - Cô ơi, làm ơn đếm giùm, trên trán tôi có mấy cục u?
 - Cô gái ngạc nhiên nhìn ông ta: Ba!
 - Gã say lẩm bẩm: Cám ơn cô lắm! Vậy là còn năm cái cột điện nữa sẽ về tới nhà..."
12,Khôn ra..,Truyện cười dân gian,"Một lão nhà giàu đi dạo chợ quê xem có món hàng nào hời sẽ mua tích trữ. Thấy một chú bé cứ nhai mãi mấy hột táo, bèn hỏi:
- Này nhóc, mày nhai mãi mấy hột táo ấy để làm gì?
- Thưa ông, để cho khôn người ra.
 
 - Thế à? Bán cho tao vài hột được không?
- Thưa ông, mười đồng hai hột.
- Ðược, tiền đây.
Lão ta đưa luôn mười đồng và cầm hai hột táo bỏ ngay vào miệng nhai lấy nhai để. Nhai mãi, một lúc sau lão ta hỏi chú bé:
- Này nhóc! Tao nhai từ nãy đến giờ chả thấy khôn ra tí nào. Trong khi đó với mười đồng, tao có thể mua hàng rổ táo của những người khác.
- Ðấy! Ðấy! Ông khôn ra rồi đấy! – Chú bé đắc chí kêu lên."
13,Dạy bơi,Truyện cười tình yêu,"Trong phòng thay quần áo ở bể bơi, Jack hỏi Bill.
- Này cậu, dạy bọn con gái tập bơi thì làm thế nào nhỉ?
- Thú vị đấy, phải tế nhị và dịu dàng, một tay đỡ phần ngực còn tay kia đỡ phần bụng của nàng. Hãy để miệng nàng ở dưới mặt nước một chút để nàng không hét ầm lên, người ta sẽ chú ý. Mà cậu có bạn gái mới hay sao đấy?
- Đâu có, tớ dạy đứa em gái ấy mà.
- Ôi dào, em gái thì quẳng đại nó xuống nước. Bơi được tuốt!"
14,Vẫn nhớ ngày trước,Truyện cười pháp luật,"Một nữ giáo viên phải ra tòa vì vi phạm luật giao thông. Sau khi nghe biên bản của cảnh sát giao thông, quan tòa nói với bị cáo:
 - Thưa cô, tôi chờ dịp này đã lâu lắm rồi. Bây giờ cô đến ngồi tại bàn này và hãy chép phạt cho tôi 500 lần câu: "" Tôi không được vượt đèn đỏ""."
15,Trung nghĩa nhất..,Truyện cười tam quốc," 
Tào Tháo, Lưu Bị và Tôn Quyền họp Hội nghị G3. Vua nhà Hán chủ trì. Vua Hán cho các cung nữ cởi trần, bôi nhọ nồi vào ngực, bắt múa đãi tướng. Cuối cùng, chọn 3 cô đẹp nhất cho ngồi cạnh 3 vị Tào, Lưu, Tôn.



Bỗng đèn đuốc tắt hết. Hồi lâu đèn nến mới sáng lên. Thì thấy tay Tôn Quyền nhọ đen nhẻm, mũi Lưu Bị cũng bị đen.
Vua Hán nghĩ bụng: “Tôn Quyền khua khuắng cả cung nữ của ta, thế nào nó cũng lấy đất Ngô, Lưu Bị ngửi cả cung nữ của ta, thế nào nó cũng lấy Ba Thục, chỉ có Tào Tháo là trung thành với ta”.
Vua Hán bèn khen Tào trung nghĩa nhất. Tào Tháo khoái quá, cười nhe cả Răng và lưỡi đen thui…"
16,Sẽ chạy nhanh hơn…,Truyện tiếu lâm,"Hai anh bạn cùng nhau đi săn, khi vào rừng sâu họ gặp 1 con sư tử, cả 2 hoảng hồn. Một anh chàng lôi trong túi ra đôi giày thể thao và luống cuống mang vào chân trong khi chúa sơn lâm lùi lũi tiến về phía họ. Anh chàng kia thấy thế lắp bắp:
- Cậu … cậu làm vậy cũng đâu … đâu có chạy nhanh hơn … hơn nnnn nó…
 - Nhưng … tớ sẽ chạy nhanh hơn cậu"
17,Chẳng ai thèm lấy,Truyện cười công sở,"
Một nhóm bạn thân nhân kỳ nghỉ rủ nhau vào rừng săn hươu. Họ chia thành từng tốp hai người và bắt đầu cuộc đi săn. Đêm đó, thợ săn nọ trở về một mình oằn lưng dưới sức nặng của một con hươu lớn.

- Thằng Ba đâu? - Những người khác hỏi.

- Nó bị đau tim, đang nằm đâu đó cách đây vài cây số, trên lối mòn này. - Tay thợ săn đáp.

- Mày để thằng Ba nằm đó và khiêng con hươu này về đây? - Mọi người kêu lên. - Mày còn tim không vậy?

- Một lựa chọn khó khăn. - Anh chàng thợ săn thành công thừa nhận. - Nhưng cuối cùng tớ sực nghĩ ra là chẳng ai thèm ăn cắp xác thằng Ba cả."
18,Học sút,Truyện cười học sinh,"- Chị: Sao năm nay em lại học sút vậy?
 - Em: Vì thầy dạy đá bóng của em bảo thế ạ!
 - Chị: Sao lạ vậy?
 - Em: Thầy bảo muốn ghi được bàn vào lưới thì phải học sút ạ!"
19,Trả ngựa cho tao…,Truyện cười tam quốc,"Lại nói về TRương Phi .
 TRương Phi suốt ngày bị Quan Zu chê trách là ngu là hữu dũng vô mưu..nuôi chỉ để lấy c…
 Phi căm lắm : dog die thật ( tạm dịch là chó chết thật..). Ông mày thuộc bảng cửu chương làu làu, đọc 24 chữ cái nhoay nhoáy, chat YM thì như ăn cắp thế mà suốt ngày chê ông mày ngu…cú thật…Nhưng nghĩ lại thì thằng Zu nổi 
tiếng hơn mình thật..đã thế nó còn cao hơn mình..râu cũng dài hơn mình nữa chứ!!!
 Nghĩ bụng Phi liền cắt tóc, cạo râu mặc mấy bộ bảnh bao tay cầm quạt cải trang trông như 1 quân sư có học thức. Phen này mình quyết cho thằng Zu lé con mắt bên phải, chột con mắt bên trái về sự thông minh của mình…
 Phi thong dong đến doanh trại của Zu thì gặp Zu đang đứng ở chuồng ngựa..
 Phi nói : chào đại tướng quân..
 Zu : tiên sinh có chi dạy bảo…
 Phi : tại hạ là quân sư đang đi tìm minh chúa, nếu tại hạ đoán đúng trong chuồng có bao nhiêu ngựa thì tướng quân cho tại hạ 1 con để cưỡi cho đỡ mỏi chân ok???
 Zu : chà, Zu ta vốn chuộng người giỏi mời tiên sinh..
 Phi : 8 con hàng ngang, 9 con hàng dọc, 8×9 = 72 con ok???
 Zu : luổn chuân ( chuẩn luôn) mời ngài chọn 1 con ngựa mà ngài thích..
 Phi loay hoay chọn 1 con và vênh mặt nói : thấy ta thông minh ko???
 Zu nhìn kĩ rồi trả lời : này nếu ta đoán được tiên sinh là ai thì tiên sinh trả lại ta con vật tiên sinh vừa lấy được ko??
 Phi : like is ok ( thích thì chiều)
 Zu : mày là thằng Phi phải không, thôi trả lại con ngựa cho tao đi thằng NGU"
20,Vova thi học kỳ,Truyện cười vova,"Đây là kỳ thi vấn đáp, thầy giáo hỏi:"
21,Đừng đùa với chú em khi say…,Truyện cười thế giới," 
” Trong tiết học đầu năm, cô giáo tiểu học yêu cầu mỗi học sinh kể một chuyện và rút ra bài học từ câu chuyện ấy.
Andrey là người xung phong kể đầu tiên:
- Ba em là chủ trang trại. Hàng tuần nhà em cho trứng gà vào rổ mang ra chợ bán. Một hôm chúng em bị đụng xe, trứng vỡ sạch. Bài học là: Đừng để tất cả trứng vào chung một rổ.



Đến lượt Billy:
- Cha em cũng là chủ nông trại, Một lần chúng em đặt 12 quả trứng gà vào máy ấp trứng, nhưng chỉ có 8 quả nở. Bài học là: Không nên tính số gà trước khi trứng nở.
Tức mình vì những bài học sâu sắc bị bạn biến tướng thành chuyện không đâu, Michelle kể:
- Trong chiến tranh, máy bay chở chú của em bị bắn hạ. Ông nhảy dù xuống một hòn đảo xa, trên người chỉ có một chai whisky nhỏ. Bị 12 tên địch vây bắt, ông uống hết nhẵn chai rượu rồi xông tới tiêu diệt cả 12 tên bằng tay không.
Cô giáo sốt ruột:
- Đó là câu chuyện, còn bài học là gì?
- Dạ bài học là: Chớ có đùa với chú em khi ông ấy đã uống rượu."
22,Khoảng cách dài nhất,Truyện tiếu lâm,"Nhận thấy trong lực lượng vũ trang có rất nhiều tướng, nghị viện Hoa Kỳ liền họp bàn để tìm cách giải quyết nhằm động viên các viên tướng về hưu sớm.
Nghị viện ra 1 quyết định ưu đãi cho các tướng về hưu ngoài những chế độ bình thường, mỗi người còn được hưởng trợ cấp 1 số tiền bằng tổng chiều dài giữa 2 điểm bất kỳ trên cơ thể người đó (tính bằng cm) nhân với 1000 USD.
 
 Mấy ngày sau có 3 viên tướng làm đơn xin nghỉ. Người thứ nhất yêu cầu đo khoảng cách từ đầu đến gót chân, ông ta cao 1m90, vậy ông tướng này được nhận 190.000 USD.
- Người thứ hai yêu cầu được đo từ ngón tay giữa (lúc giơ tay lên) đến đầu ngón chân cái. Khoảng cách 2 điểm này là 2m30 nên ông ta được nhận thêm 230.000 đô la.
- Người thứ ba yêu cầu đo từ đầu đến “cái ấy” của ông. Hội đồng giám định khá bất ngờ với sự khiêm tốn của ông và đồng ý. Nhưng để thực hiện điều này thì ông phải cởi đồ ra để tiện việc đo đạc. Khi ông này cởi áo quần ra thì hội đồng ngạc nhiên hỏi:
- Thế “cái ấy” của ông đâu mất rồi ?”
Viên tướng thản nhiên trả lời:
- Nó ko ở đây. Nó ở trên sa mạc vùng Vịnh!!!!"
23,Quá sốc,Truyện cười y học,"Có một cụ bà ngoài 80 tuổi, ở nhà buồn, cụ quyết định chơi xổ số để giải trí. Rồi một ngày kia cụ trúng số độc đắc trị giá 200 triệu USD. Các con sợ cụ sốc quá khi biết tin vui nên thống nhất thuê một bác sĩ tâm lý để báo cho cụ. Một bác sĩ tài giỏi nhất thành phố đã được chọn để giải quyết vấn đề này. Dưới đây là phương pháp bác sĩ đã áp dụng với bà cụ.
 - Thưa cụ, năm nay cụ bao nhiêu tuổi?

- Tôi năm nay 86 tuổi.

- Nếu cụ trúng xổ số 5 đôla, cụ sẽ làm gì?

- Tôi sẽ mua cho cháu một chiếc cặp sách mới.

- Nếu trúng 20 đôla, cụ sẽ làm gì?

- Tôi sẽ mua một ít vật dụng trong gia đình.

- Nếu trúng 100 đôla, cụ sẽ làm gì?

- Tôi sẽ mời cả gia đình đi ăn nhà hàng.

- Và cứ thế tiếp diễn cho đến lúc ông bác sĩ tâm lý nhận thấy, cụ già đủ bình tĩnh để nghe tin trúng xổ số độc đắc. Ông nói: ""Nếu trúng xổ số 200 triệu đôla, cụ sẽ làm gì?""

- Cụ già đã mệt mỏi vì những câu hỏi của vị bác sĩ nên trả lời cho qua: ""Một nửa số tiền đó thuộc về ông!!!"".

- Ông bác sĩ lăn đùng ra ngất xỉu vì không đủ bình tĩnh để nghe một tin giật gân ngoài sức tưởng tượng của mình. Ông đã ra đi mà không kịp nhìn thấy số tiền mà ông được hưởng."
24,Biếu không.,Truyện cười công sở," 
- Các con bị thua à?
- Không! Nhưng con lại thi đấu cho đội bóng khác.
- Họ bán con à?
- Họ cho không!
Trong một sân vận động xảy ra chuyện ẩu đả.
- Có gì xảy ra thế? Một khán giả ngây thơ hỏi.
- Anh không thấy à? Bọn hu-li-gân Luân Đôn đánh trọng tài – Người ngồi cạnh giải thích.
- Nhưng tại sao? Trận đấu vẫn chưa bắt đầu kia mà!
- Tại vì ngay sau khi trận đấu kết thúc thì chuyến tàu thủy cuối cùng xuyên về Anh sẽ khởi hành, và đám ấy sợ không kịp chuyến tàu…"
25,Lý do không làm từ thiện..,Truyện tiếu lâm,"Phóng viên phỏng vấn 1 tỉ phú:cho hỏi tại sao một người giàu có như ông lại không có một hoạt động từ thiện nào????

Tỉ phú:nhà tôi thấy vậy chứ khổ lắm chú ơi,mẹ tôi bị bệnh hiểm nghèo mỗi ngày lo thuốc than hết vài triệu bạc.Còn em tôi nữa,nó bị tai nạn nằm liệt giường.

Phóng viên dạ đúng là khó khăn thật.

Tỉ phú:đấy,chú thấy đấy,hai người đó là họ hàng ruột thịt mà tôi còn không thèm cho 1 xu nữa đừng nói chi mấy người lạ."
26,Vì sao phải đứng?,Truyện cười công sở,"- Tại sao những người chỉ huy thường đứng khi đi thuyền?
- Vì nếu ngồi xuống, ông ta sẽ phải chèo như những người khác."
27,Đất nứt con bọ hung..,Truyện cười dân gian,"Từ bé 
 đã nổi tiếng học giỏi và đối đáp nhanh. Trong làng có ông Tú Cát rất hợm hĩnh mình, đi đâu cũng khoe mình hay chữ. Quỳnh rất ghét những loại người như vậy. Một hôm Quỳnh đang đứng xem đàn lợn ăn cám trong chuồng, Tú Cát đi qua trông thấy, liền gọi Quỳnh lại và bảo:
 - Ta nghe đồn mày thông minh và có tài đối đáp. Bây giờ ta ra cho mày một câu đối, nếu không đối được, ta sẽ đánh đòn. Nói rồi, Tú Cát lên giọng, gật gù ngâm nga:
- Lợn cấn ăn cám tốn.
Tú Cát nghĩ rằng câu này rất khó đối, ví “cấn” và “tốn” là hai quẻ trong kinh Dịch nào ngờ. Quỳnh đối lại ngay:
- Chó khôn chớ cắn càn.
Quẻ này cũng có “khôn” và “càn” là tên hai quẻ trong kinh Dịch, đồng thời lại có ý xỏ Tú Cát là chó. Không ngờ bị chơi đau như vậy, Tú Cát tức lắm, hằm hằm bảo:
- Được! Ta ra thêm vế nữa, phải đối lại ngay – rồi đọc – Ttrời sinh ông Tú Cát.
Quỳnh đáp luôn:
- Đất nứt con bọ hung.
Tú Cát tức đến sặc tiết nhưng không làm gì được, vì Quỳnh đối rất chỉnh, đành lùi thủi bỏ đi."
28,Anh là hình phạt của tôi..,Truyện tiếu lâm,"Ba người đàn ông chết trong một vụ tai nạn và cùng lên Thiên đàng. Đến nơi, Thánh Peter nói:

- Ở đây chỉ có một luật lệ: Không được đạp chết vịt!

Bên trong Thiên đàng cơ man là vịt, thật khó mà tránh được chúng. Được vài bước chân, một người trong số họ đã lỡ giẫm chết một con. Thánh Peter xuất hiện cùng một người phụ nữ rất xấu xí, xích họ lại với nhau và nói:

- Hình phạt dành cho anh là phải sống suốt đời với người đàn bà này.

Ngày hôm sau, người thứ hai cũng đạp chết vịt và ông Thánh xích anh ta với một người phụ nữ cực kỳ xấu xí khác. Người thứ ba hết sức  thận trọng mỗi bước chân. Anh ta tránh được xui xẻo trong một thời gian dài. Một hôm, Thánh Peter mang anh ta đến gặp một cô gái tóc vàng đẹp hoàn hảo, xích họ lại với nhau rồi bỏ đi mà không nói lời nào. Người đàn ông thắc mắc với cô gái:

- Không hiểu tôi đã làm gì để may mắn được sống với cô nhỉ?

- Tôi không biết anh làm gì, nhưng tôi đã đạp chết một con vịt."
29,Không cần đăng ký,Truyện cười tình yêu,"Một anh chàng kỹ sư tin học đang ngồi chơi với người yêu trước màn hình máy tính. Cô nàng nũng nịu, còn chàng kỹ sư thì mặt dán vào màn hình, tay gõ bàn phím lách cách."
30,Ba cái chết..,Truyện tiếu lâm," 
Có 3 nguoi cùng chết xuống địa ngục. Diêm Vương hỏi người thứ 1:

- Tại sao con chết ??

- Con phát hiện vợ con đang ngoại tình với thằng khác ở lầu 10 khách sạn New Wolrd, tức quá nhưng không dám đánh vợ nên con đã ném cái tủ lạnh xuống đất, nhưng nặng quá nên con rớt theo —> chết

Diêm Vương hỏi người thứ 2:

- Tại sao con chết ??

- Con thấy nó lên nên con bỏ chạy chạy bộ ngang khách sạn New Wolrd, tự nhiên có cái tủ lạnh rớt ngay đầu con.

Diêm Vương hỏi người thứ 3

- Dzậy còn con ???

- Dzạ thấy thằng chồng chạy lên, nên con núp trong cái tủ lạnh đó……"
31,Mặt gì?,Truyện cười say xỉn,"Hai gã say đang trò chuyện trên đường về nhà:
- Đẹp thật, nhìn trăng kìa!
- Sai bét ! Đó là mặt trời !
- Họ cãi nhau cho đến khi gặp một người đi ngược lại, một người hỏi: Này anh bạn, hãy nói xem cái vật đang chiếu sáng trên kia là mặt trời hay mặt trăng vậy ?
Người kia nhìn lên rồi cau mày nói:
- Ngu thế! Nó là cái đèn chứ cái gì!!!"
32,Bị đánh vợ vẫn sướng…,Truyện cười tình yêu,"Hôm nọ, mình uống bia với bạn ,nhưng uống không nhiều, trên đường về mình nghĩ được một ý tưởng…
Về đến nhà, mình giả vờ say, vợ chưa bao giờ thấy mình say tệ như thế, chạy ra đỡ mình. Mình vả cho cô ấy một cái 
(nhẹ thôi, nhưng cũng đủ đỏ má) và đẩy ra, quát: “Cô là đứa nào, ngòai vợ tôi ra, chưa có đứa con gái nào đụng được vào người tôi nghe chưa”.
Và mình lỉnh luôn vào buồng lăn ra ngủ, sau dậy ăn cơm. Lạ lắm, thấy mình dậy, vợ ngoan ngoãn dọn cơm, lấy ghế ngồi ngắm mình ăn mà mặt lại rạng rỡ lạ, lại còn tủm tỉm cười. Hic, mình thì trả thù được mà vợ mình lại sướng"
33,Mất hay không?,Truyện cười thể thao,"Tên trộm lẻn vào nhà dắt chiếc xe @ mới cứng ra cửa, chợt nghe tiếng ông chủ nhà thét lên: Việt vị! việt vị rồi! Tiếc quá!...
 - Tên trộm máu mê bóng đá không kìm được bật lên tiếng cãi: Việt vị đâu mà việt vị nào?
 - Ông chủ nhà không buồn để ý đến tiếng ai vừa nói, vẫn dán mắt vào màn hình chăm chú và ra giọng cá cược: Được rồi, nếu không phải là việt vị, tôi sẽ mất cho anh cái @!
 - !!!"
34,Người đàn ông chân chính,Truyện cười học sinh,"- Tý này, nói bố nghe, hôm nay con được điểm mấy?
- Thưa bố, những người đàn ông chân chính thì không bao giờ thèm để ý đến những chuyện... vặt vãnh ấy!"
35,Có tội gì?,Truyện cười gia đình,"Chồng có bồ, đòi ly dị vợ:
 - Đơn ly dị đây, mời cô ký vào!
 - Trời ơi, làm sao anh có thể nhẫn tâm đến thế?
 - Với cô, như thế là đáng đời rồi.
 - Tôi dại dột thì không nói, chứ cô gái kia có tội tình gì mà anh lại lấy người ta?"
36,Ông ấy không chọn tôi,Truyện cười gia đình,"- Bà là vợ của nạn nhân?
- Vâng!
- Tại sao bà ép ông ta tự tử?
- Thật tôi không ngờ! Tôi chỉ nói: ""Đừng có hòng mà ly dị. Giữa tôi và đầu tàu hoả ông chọn cái nào?"""
37,Kem,Truyện cười khác,"- Quỷnh: Mắm , hôm nay Quỷnh sẽ chiêu đãi Mắm 1 buổi kem tha hồ
 - Mắm: Trời! Hôm nay nhiều tiền thế nhỉ!
 - Quỷnh: Kem P/S đấy. Tha hồ mà đánh nhé!
 - Mắm: Hả!!!"
38,Đãng trí hay không?,Truyện cười công sở,"Một thương gia đang nằm chờ chết, thều thào đọc chúc thư cho viên luật sư:
 - ...Có lẽ cũng phải nghĩ đến các nhân viên của tôi một chút. Hãy chia cho mỗi người phục vụ trên 25 năm nửa triệu USD...
 - Luật sư ngạc nhiên: Nhưng hãng của ngài chỉ mới thành lập có 15 năm thôi mà?
 - Vị thương gia thở hắt: Vâng, tôi nhớ. Nhưng phải quảng cáo chứ! "
